X Position (mm),Y Position (mm),Rotation Angle (deg)
-22.527228440666594,-18.678942422360006,149.2092790652228
-23.727506145798976,-17.894021340307056,144.37470308979786
-24.855644622425306,-17.010404720496673,139.48990462993405
-25.906426086956188,-16.032383831317215,134.67764923044797
-26.876591827394225,-14.966588581235504,130.05405388626087
-27.765014089571395,-13.821643913043298,125.71632301506388
-28.572676037920516,-12.607656076495424,121.73820202144223
-29.302681922196413,-11.335656539064907,118.16789104107954
-29.95999287348768,-10.016835841778228,115.02652298213819
-30.55102007191853,-8.661818984962293,112.31009557594142
-31.083071951617775,-7.279859851258486,109.9889373536874
-31.56356466165372,-5.87820342922516,108.00922688027535
-31.99921274926405,-4.461812639751495,106.29552996392412
-32.39523638443894,-3.0332840405360835,104.75271281569431
-32.7546185681591,-1.5931320219025618,103.26325720419145
-33.07712706766874,-0.14039830009806947,101.68066096425133
-33.35816923831274,1.326265882641369,99.83482234168277
-33.588014089571324,2.806642190258218,97.55812637367647
-33.75234164759681,4.2970105246812125,94.7185867249426
-33.83420921869848,5.789322781954811,91.23177707585
-33.816299575024075,7.271537974828281,87.05315192099727
-33.682887806472266,8.72888118012411,82.16828052731383
-33.421044982019836,10.1451345684863,76.59247135169741
-33.021411016671685,11.503852641385924,70.38472752013483
-32.47867378228137,12.789389743380022,63.66009723369391
-31.791664890486675,13.987698352402566,56.594104271805136
-30.963362275252948,15.08696579437705,49.413172013456055
-30.000791892775027,16.07811814253003,42.36262545439841
-28.9146761686822,16.95522409382129,35.668081855699945
-27.719028963713274,17.715804454069726,29.506708616816923
-26.43057437070904,18.361045254985047,23.9946586108804
-25.067868519123568,18.89588099869214,19.193454627301904
-23.65024424321643,19.328902520431264,15.124910947020615
-22.196402356979117,19.67200152991148,11.782654632847304
-20.722742883294924,19.93956454396836,9.132642769001897
-19.241703550179547,20.14699430859732,7.104386939332552
-17.76081873488045,20.308722003922586,5.584955793065214
-16.283055665249872,20.436307966655505,4.435656100529244
-14.808536989211968,20.537735923504144,3.5281192807119752
-13.336367763648077,20.61798673095756,2.7689758979106074
-11.86561892121593,20.680071350114147,2.103163835979188
-10.395678674403264,20.725979506374365,1.5002491947497294
-8.926154768878604,20.75705672115043,0.9406071357955348
-7.456808298136549,20.774230369401497,0.410207037867673
-5.987496162798223,20.778096299443995,-0.1032769965624507
-4.518058176528219,20.768933197122973,-0.611894389426002
-3.0482902589081,20.74670564563556,-1.127824823294606
-1.5778416776724216,20.71104974501444,-1.6658597242015212
-0.1060970323635161,20.66113803857443,-2.249254964782098
1.3679217646289459,20.59534874795658,-2.918626293978926
2.8456175246812316,20.51064857796639,-3.7524417541082093
4.328081127165684,20.401202958482898,-4.876957982945122
5.814591738476551,20.257320434782347,-6.446515068055548
7.300409701863258,20.06535924812004,-8.603816535097442
8.775586442628196,19.80931033998013,-11.44769636539411
10.225413768551682,19.47304060477255,-11.90807403121021
11.398640934292104,19.25615999673071,-17.11522418320713
12.598085677672277,18.742421244851016,-27.933735829735188
13.812492928407796,17.976270864661423,-35.56425204091801
15.032408956521541,17.00191322817892,-40.920526256089005
16.250162661653924,15.863166053612085,-41.86213966863016
17.933153155606178,14.402682148087424,-42.458763902231276
19.371422830336456,13.007187933638274,-45.93710836447199
20.565029251715977,11.683274651519953,-50.041207859928505
21.523150611964414,10.439109906178354,-54.70258664224882
22.26309291925437,9.28478374043793,-62.75521668947598
22.399506649231483,8.737178854854415,-77.15166193112209
22.571658103955244,7.93191305067005,-75.82662861504694
22.850901909120328,6.949789466165324,-70.6704228226859
23.285746139260894,5.896167213468377,-63.30996242421392
23.888894903562946,4.885075830663552,-39.062247518617966
24.91751533834554,4.571848681268329,-20.376305884619487
25.773483644981685,4.185090567505666,-28.713666990131117
26.433792886563893,3.741240815952877,-40.4195913690269
26.874024557044436,3.2478077659365385,-58.416840885089044
27.07069148087575,2.7052947747629594,-99.31483781298499
26.65725237659331,1.9262051147433552,-104.70089309632529
26.5736165152007,0.8106780209218594,-90.95861017626078
26.61943605099671,-0.3338519261196426,-84.48049815677831
26.79550497548184,-1.4855293769205429,-77.94923364028546
27.108043027132698,-2.6225934910101,-88.84879432787433
26.839485996017718,-3.6741806385330955,-106.20633276857102
26.52772339747591,-4.619243013830695,-110.03977251101796
26.201001543483223,-5.424620616914491,-113.99859263044638
25.887566746015246,-6.0571534477960425,-118.92915005208708
25.61566531704757,-6.483681506486907,-127.67393303264372
25.413543568555788,-6.671044792998642,-161.5096159572601
25.30944781251549,-6.586083307342803,99.7768306040451
25.33162436090226,-6.195637049530947,79.92719784196183
25.508319525691707,-5.466546019574634,73.67030600651687
25.8677796188594,-4.365650217485416,71.91731120038467
