X Position (mm),Y Position (mm),Rotation Angle (deg)
14.268708498834537,18.056421655011725,-26.72167040810544
15.533409841491883,17.3264681351982,-33.82878336870936
16.68035214452219,16.440211888111953,-41.82191079598753
17.328359930069976,15.720361958042021,-54.268213791932936
18.183390303030354,14.35095980885787,-58.97023824225044
19.216549324009375,12.581581351981407,-59.12170400553252
20.403430116550172,10.638352762237814,-57.072887980997905
21.718893799533863,8.717556137529181,-49.050303827769845
23.839867692307767,6.67816672727276,-44.213037115657606
25.16281013986022,5.366968808857836,-45.937854560892404
25.740532144522227,4.714238459207482,-57.522839052094895
25.628429160839246,4.63545003030305,159.52293190323695
24.879895477855563,5.03562477156179,144.39449124484236
22.92817981351989,6.569031403263429,153.24876998812078
22.04050041958049,6.466874142191168,-127.13529214922242
22.09860529137536,5.473540475524499,-65.54365950639469
23.18822745920753,3.9433229044289226,-45.52395399508061
25.298003939394018,2.21508489743591,-24.601258403077765
28.766762890442976,1.3891217668997824,-17.551051807960302
30.57296452214462,0.5467274009324141,-36.36668334277408
31.28590993007003,-0.4658935034964934,-81.6126201609314
30.868393752913857,-1.456969261072255,-137.90226383334902
29.32876424242435,-2.2341698764568747,-163.17541081241927
26.20036631701641,-2.86851607459208,-155.66493604990333
24.362012331002425,-4.480404594405604,-132.34601536055774
23.393804731934818,-5.947915048951061,-113.11813180702954
23.31603715617724,-6.9305102587412755,-59.80853894423706
24.048334965035046,-7.072896200466219,20.205251069768757
25.677792657342692,-6.061307668997664,33.70341478317332
27.04592468531474,-5.073494242424221,38.347714796742984
27.634354195804278,-4.513461083916045,112.80645583166618
26.92470433566445,-4.7852133566432995,-151.19424509019973
24.39859825174841,-6.29275622377614,-149.17187030349712
